
2025/04/28 (12:07:02) | ===> btop++ v.1.4.0
2025/04/28 (12:07:02) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/28 (12:07:22) | WARNING: Failed to join _runner thread on exit!

2025/04/28 (12:10:02) | ===> btop++ v.1.4.0
2025/04/28 (12:10:02) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/28 (12:10:04) | WARNING: Failed to join _runner thread on exit!

2025/04/28 (12:11:07) | ===> btop++ v.1.4.0
2025/04/28 (12:11:07) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/28 (12:11:24) | WARNING: Failed to join _runner thread on exit!

2025/04/28 (12:11:28) | ===> btop++ v.1.4.0
2025/04/28 (12:11:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/28 (12:11:32) | WARNING: Failed to join _runner thread on exit!

2025/04/28 (12:21:16) | ===> btop++ v.1.4.0
2025/04/28 (12:21:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/28 (12:21:32) | WARNING: Failed to join _runner thread on exit!

2025/04/28 (12:22:24) | ===> btop++ v.1.4.0
2025/04/28 (12:22:24) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/28 (12:22:28) | WARNING: Failed to join _runner thread on exit!

2025/04/28 (15:46:16) | ===> btop++ v.1.4.0
2025/04/28 (15:46:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/28 (15:50:17) | WARNING: Failed to join _runner thread on exit!

2025/04/28 (15:55:49) | ===> btop++ v.1.4.0
2025/04/28 (15:55:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/28 (15:56:15) | WARNING: Failed to join _runner thread on exit!

2025/04/28 (21:03:08) | ===> btop++ v.1.4.0
2025/04/28 (21:03:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/28 (21:03:24) | WARNING: Failed to join _runner thread on exit!

2025/04/29 (16:05:23) | ===> btop++ v.1.4.0
2025/04/29 (16:05:23) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/29 (16:05:28) | WARNING: Failed to join _runner thread on exit!

2025/05/02 (21:09:52) | ===> btop++ v.1.4.0
2025/05/02 (21:09:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/02 (21:10:05) | WARNING: Failed to join _runner thread on exit!

2025/05/02 (21:11:10) | ===> btop++ v.1.4.0
2025/05/02 (21:11:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/02 (21:11:14) | WARNING: Failed to join _runner thread on exit!

2025/05/04 (11:51:14) | ===> btop++ v.1.4.0
2025/05/04 (11:51:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/05 (11:01:55) | ===> btop++ v.1.4.0
2025/05/05 (11:01:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/05 (11:02:01) | WARNING: Failed to join _runner thread on exit!

2025/05/09 (21:07:39) | ===> btop++ v.1.4.0
2025/05/09 (21:07:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/09 (23:51:59) | WARNING: Failed to join _runner thread on exit!

2025/05/11 (20:05:41) | ===> btop++ v.1.4.0
2025/05/11 (20:05:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/14 (11:48:09) | ===> btop++ v.1.4.0
2025/05/14 (11:48:09) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/14 (11:48:17) | WARNING: Failed to join _runner thread on exit!

2025/05/14 (13:40:10) | ===> btop++ v.1.4.0
2025/05/14 (13:40:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/14 (13:40:14) | WARNING: Failed to join _runner thread on exit!

2025/05/16 (20:27:12) | ===> btop++ v.1.4.0
2025/05/16 (20:27:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/16 (20:27:41) | WARNING: Failed to join _runner thread on exit!

2025/05/19 (16:50:45) | ===> btop++ v.1.4.0
2025/05/19 (16:50:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/21 (16:43:08) | ===> btop++ v.1.4.0
2025/05/21 (16:43:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/23 (12:21:47) | ===> btop++ v.1.4.0
2025/05/23 (12:21:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/23 (20:05:55) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (20:09:31) | ===> btop++ v.1.4.0
2025/05/23 (20:09:31) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/23 (20:09:35) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (19:56:29) | ===> btop++ v.1.4.0
2025/05/29 (19:56:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/29 (19:56:39) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (20:10:50) | ===> btop++ v.1.4.0
2025/05/30 (20:10:50) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/30 (20:11:00) | WARNING: Failed to join _runner thread on exit!

2025/05/30 (20:24:21) | ===> btop++ v.1.4.0
2025/05/30 (20:24:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/30 (20:55:58) | WARNING: Failed to join _runner thread on exit!

2025/05/31 (20:00:59) | ===> btop++ v.1.4.0
2025/05/31 (20:00:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/07 (20:55:42) | ===> btop++ v.1.4.0
2025/06/07 (20:55:42) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/08 (00:42:09) | WARNING: Failed to join _runner thread on exit!

2025/06/09 (19:42:20) | ===> btop++ v.1.4.0
2025/06/09 (19:42:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/10 (00:28:20) | WARNING: Failed to join _runner thread on exit!

2025/06/12 (12:23:54) | ===> btop++ v.1.4.0
2025/06/12 (12:23:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/12 (12:24:00) | WARNING: Failed to join _runner thread on exit!

2025/06/13 (20:25:33) | ===> btop++ v.1.4.0
2025/06/13 (20:25:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/14 (19:56:56) | ===> btop++ v.1.4.0
2025/06/14 (19:56:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/14 (20:00:59) | ===> btop++ v.1.4.0
2025/06/14 (20:00:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/15 (01:59:22) | ===> btop++ v.1.4.0
2025/06/15 (01:59:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/15 (19:30:46) | ===> btop++ v.1.4.0
2025/06/15 (19:30:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/15 (19:30:54) | WARNING: Failed to join _runner thread on exit!

2025/06/28 (20:28:15) | ===> btop++ v.1.4.0
2025/06/28 (20:28:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/28 (22:12:46) | WARNING: Failed to join _runner thread on exit!

2025/06/29 (23:58:57) | ===> btop++ v.1.4.0
2025/06/29 (23:58:57) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/30 (01:40:22) | WARNING: Failed to join _runner thread on exit!

2025/07/10 (08:24:54) | ===> btop++ v.1.4.0
2025/07/10 (08:24:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/10 (08:25:23) | WARNING: Failed to join _runner thread on exit!

2025/07/10 (08:25:29) | ===> btop++ v.1.4.0
2025/07/10 (08:25:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/10 (08:26:58) | WARNING: Failed to join _runner thread on exit!

2025/07/10 (11:25:31) | ===> btop++ v.1.4.0
2025/07/10 (11:25:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/10 (11:32:17) | ===> btop++ v.1.4.0
2025/07/10 (11:32:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/10 (11:34:00) | WARNING: Failed to join _runner thread on exit!

2025/07/10 (12:20:25) | ===> btop++ v.1.4.0
2025/07/10 (12:20:25) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/10 (12:21:15) | WARNING: Failed to join _runner thread on exit!
